,Quartal,Immobielienpreis,Leerstand,Mietpreis
0,Q1 2004,2011.0,,
1,Q2 2004,1991.0,2.7,
2,Q3 2004,1935.0,,
3,Q4 2004,1923.0,,
4,Q1 2005,1915.0,,
5,Q2 2005,1896.0,2.9,
6,Q3 2005,1900.0,,
7,Q4 2005,1904.0,,
8,Q1 2006,1880.0,,
9,Q2 2006,1869.0,3.4,
10,Q3 2006,1865.0,,
11,Q4 2006,1894.0,,
12,Q1 2007,1901.0,,
13,Q2 2007,1834.0,2.4,
14,Q3 2007,1865.0,,
15,Q4 2007,1922.0,,
16,Q1 2008,1940.0,,
17,Q2 2008,1963.0,2.2,
18,Q3 2008,1927.0,,
19,Q4 2008,1943.0,,
20,Q1 2009,1989.0,,
21,Q2 2009,2030.0,1.8,
22,Q3 2009,2039.0,,
23,Q4 2009,2060.0,,
24,Q1 2010,2034.0,,
25,Q2 2010,2104.0,1.2,
26,Q3 2010,2060.0,,
27,Q4 2010,2188.0,,
28,Q1 2011,2302.0,,
29,Q2 2011,2273.0,1.0,
30,Q3 2011,2213.0,,
31,Q4 2011,2222.0,,
32,Q1 2012,2207.0,,
33,Q2 2012,2213.0,0.8,
34,Q3 2012,2396.0,,
35,Q4 2012,2445.0,,
36,Q1 2013,2529.0,,
37,Q2 2013,2513.0,0.7,
38,Q3 2013,2521.0,,
39,Q4 2013,2519.0,,
40,Q1 2014,2664.0,,
41,Q2 2014,2811.0,0.6,
42,Q3 2014,2780.0,,
43,Q4 2014,2882.0,,
44,Q1 2015,2946.0,,
45,Q2 2015,3109.0,0.5,
46,Q3 2015,3167.0,,
47,Q4 2015,3114.0,,
48,Q1 2016,3272.0,,
49,Q2 2016,3366.0,0.5,
50,Q3 2016,3453.0,,
51,Q4 2016,3681.0,,
52,Q1 2017,3815.0,,
53,Q2 2017,3855.0,0.4,
54,Q3 2017,4068.0,,
55,Q4 2017,4362.0,,
56,Q1 2018,4669.0,,
57,Q2 2018,4734.0,0.3,
58,Q3 2018,4896.0,,
59,Q4 2018,4965.0,,
60,Q1 2019,5093.0,,
61,Q2 2019,5376.0,0.2,
62,Q3 2019,5514.0,,
63,Q4 2019,5509.0,,
64,Q1 2020,5621.0,,
65,Q2 2020,5698.0,,
66,Q3 2020,5860.0,,
67,Q4 2020,5903.0,,
68,Q1 2021,6196.0,,
69,,,,
70,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,,
71,Q2 2001,,1.8,
72,Q2 2002,,2.0,
73,Q2 2003,,2.5,
