,Quartal,Immobielienpreis,Leerstand,Mietpreis
0,Q1 2012,2404.0,,
1,Q2 2012,2434.0,0.7,
2,Q3 2012,2501.0,,
3,Q4 2012,2525.0,,
4,Q1 2013,2662.0,,
5,Q2 2013,2661.0,0.7,
6,Q3 2013,2765.0,,
7,Q4 2013,2757.0,,
8,Q1 2014,2794.0,,
9,Q2 2014,2843.0,0.7,
10,Q3 2014,2885.0,,
11,Q4 2014,2912.0,,
12,Q1 2015,3023.0,,
13,Q2 2015,3120.0,0.6,
14,Q3 2015,3179.0,,
15,Q4 2015,3221.0,,
16,Q1 2016,3280.0,,
17,Q2 2016,3355.0,0.6,
18,Q3 2016,3433.0,,
19,Q4 2016,3487.0,,
20,Q1 2017,3561.0,,
21,Q2 2017,3554.0,0.5,
22,Q3 2017,3571.0,,
23,Q4 2017,3654.0,,
24,Q1 2018,3715.0,,
25,Q2 2018,3744.0,0.5,
26,Q3 2018,3916.0,,
27,Q4 2018,3963.0,,
28,Q1 2019,4074.0,,
29,Q2 2019,4264.0,0.5,
30,Q3 2019,4442.0,,
31,Q4 2019,4625.0,,
32,Q1 2020,4805.0,,
33,Q2 2020,4855.0,,
34,Q3 2020,5080.0,,
35,Q4 2020,5163.0,,
36,Q1 2021,5357.0,,
37,Q2 2001,,1.6,
38,Q2 2002,,1.6,
39,Q2 2003,,2.0,
40,Q2 2004,,2.0,
41,Q2 2005,,2.2,
42,Q2 2006,,2.4,
43,Q2 2007,,1.8,
44,Q2 2008,,1.5,
45,Q2 2009,,1.0,
46,Q2 2010,,0.7,
47,Q2 2011,,0.7,
